Gene,Gene signature,Description,PMID
CSF1R,Myeloid cells traffic,"Macrophage colony-stimulating factor (M-CSF or CSF1) is a potent growth factor that promotes the differentiation, proliferation, and migration of monocytes/macrophages via signaling through its receptor tyrosine kinase CSF1R (cFMS). Our results highlight the importance of CSF1/CSF1R signaling in the recruitment of tumor-infiltrating myeloid cells which can limit the efficacy of radiotherapy.",23418320
CSF2,Myeloid cells traffic,"This evidence raises the possibility that GM-CSF, a cytokine broadly usedin cancer patientsforits properties on bone marrow mobilization and immune functions, may promote the expansion of myeloid suppressive components, with negative consequences on tumor antigen–specific immune responses.",17577033
CSF2RA,Myeloid cells traffic,"This evidence raises the possibility that GM-CSF, a cytokine broadly usedin cancer patientsforits properties on bonemarrowmobilization and immune functions, may promote the expansion of myeloid suppressive components, with negative consequences on tumor antigen– specific immune responses.",17577033
CSF3,Myeloid cells traffic,"It has been previously shown that tumor derived factors such as IL-6 and G-CSF are able to facilitate MDSC growth, that increased tumor burden correlated with increased G-CSF and that blockade of G-CSF inhibited tumor growth.",24625328
CSF3R,Myeloid cells traffic,"It has been previously shown that tumor derived factors such as IL-6 and G-CSF are able to facilitate MDSC growth, that increased tumor burden correlated with increased G-CSF and that blockade of G-CSF inhibited tumor growth.",24625328
CXCL12,Myeloid cells traffic,PGE(2)-induced CXCL12 production and CXCR4 expression controls the accumulation of human MDSCs in ovarian cancer environment. Frequencies of CD11b+CD14+CD33+CXCR4+ MDSCs closely correlated with CXCL12 and PGE2 levels in patient ascites. ,22025564
CXCL5,Myeloid cells traffic,"Indeed, we found that PMN-MDSC correlated with intratumor levels of IL-1β, IL-8, CXCL-5 and Mip-1α. These data suggest that these chemokines and IL-1 β promote accumulation of PMN-MDSC in the parenchyma of the RCC host. CXCR2, the receptor for IL-8 and CXCL-5, was expressed in over 50% of PMN-MDSC.",27799249
CXCL8,Myeloid cells traffic,"Indeed, we found that PMN-MDSC correlated with intratumor levels of IL-1β, IL-8, CXCL-5 and Mip-1α. These data suggest that these chemokines and IL-1 β promote accumulation of PMN-MDSC in the parenchyma of the RCC host. CXCR2, the receptor for IL-8 and CXCL-5, was expressed in over 50% of PMN-MDSC.",27799249
CXCR2,Myeloid cells traffic,"Indeed, we found that PMN-MDSC correlated with intratumor levels of IL-1β, IL-8, CXCL-5 and Mip-1α. These data suggest that these chemokines and IL-1 β promote accumulation of PMN-MDSC in the parenchyma of the RCC host. CXCR2, the receptor for IL-8 and CXCL-5, was expressed in over 50% of PMN-MDSC.",27799249
CXCR4,Myeloid cells traffic,PGE(2)-induced CXCL12 production and CXCR4 expression controls the accumulation of human MDSCs in ovarian cancer environment. Frequencies of CD11b+CD14+CD33+CXCR4+ MDSCs closely correlated with CXCL12 and PGE2 levels in patient ascites. ,22025564
IL6,Myeloid cells traffic,"Here we demonstrated that circulating CD11b+CD14+HLA-DR− cells were significantly increased in esophageal SCC patients compared with healthy people, and this was associated with the clinical stage, treatment response and circulating IL-6 levels. In a 4-NQO-induced esophageal tumor animal model, MDSC recruitment was associated with invasive esophageal tumors and with increased IL-6 levels. IL-6 stimulated reactive oxygen species, arginase 1 and p-STAT3 in MDSCs. Blockade of IL-6 prevented induction of MDSCs and the incidence of 4-NQO-induced invasive tumors.",25238263
IL6R,Myeloid cells traffic,"Here we demonstrated that circulating CD11b+CD14+HLA-DR− cells were significantly increased in esophageal SCC patients compared with healthy people, and this was associated with the clinical stage, treatment response and circulating IL-6 levels. In a 4-NQO-induced esophageal tumor animal model, MDSC recruitment was associated with invasive esophageal tumors and with increased IL-6 levels. IL-6 stimulated reactive oxygen species, arginase 1 and p-STAT3 in MDSCs. Blockade of IL-6 prevented induction of MDSCs and the incidence of 4-NQO-induced invasive tumors.",25238263
CD177,Neutrophil signature,"Biologically, CD177 is a glycosylphosphatidylinositol-linked cell surface antigen that may help mediate neutrophil adherence to the endothelium through its binding of platelet endothelial cell adhesion molecule 1 on endothelial cells. CD177 is also required for proteinase 3 expression on the neutrophil cell surface.",24124144
CTSG,Neutrophil signature,"Neutrophil elastase, proteinase 3, and cathepsin G are three hematopoietic serine proteases stored in large quantities in neutrophil cytoplasmic azurophilic granules.",21079042
CXCR1,Neutrophil signature,"CXCR1 is a central receptor for neutrophil recruitment and activation, supported by the importance of its cognate ligand CXCL8 in a variety of inflammatory diseases.",24914212
CXCR2,Neutrophil signature,The present findings suggest that CXCR2 is responsible for neutrophil chemotaxis and margination induced by IL-8.,9553055
ELANE,Neutrophil signature,"Secondary granules form during the myelocyte to metamyelocyte transition followed by the formation of tertiary granules during the band cell to segmented cell stage. These granules compartmentalize an arsenal of defensive factors and enzymes, such as myeloperoxidase, elastase, defensins, cathelicidins and matrix metalloproteinases (MMPs), that protect against opportunistic infections and mediate the resolution of inflammation.",27282249
FCGR3B,Neutrophil signature,FcγRIIIb is expressed only by neutrophils and FcγRIIIb-neutrophil antigen (NA)1/NA2 polymorphism influenced phagocytosis of immunoglobulin G1-opsonized particles.,18408222
FFAR2,Neutrophil signature,"Recently, SCFAs, particularly acetate (C2) and propionate (C3), have been found to bind and activate the G-protein-coupled receptor GPR43. Using an extensive data set of human and mouse immune cell transcription profiles we found that transcripts for human GPR43 and mouse Gpr43 exhibited enhanced expression in neutrophils and eosinophils.",19865172
MPO,Neutrophil signature,"Besides cytokines, neutrophils also secrete myeloperoxidase (MPO), also important for recruitment of monocytes/macrophages and activation of platelets.",26966341
PGLYRP1,Neutrophil signature,"In summary, mammalian PGRP binds to PGN and Gram-positive bacteria (with unmodified PGN) with nanomolar affinity, is expressed in neutrophils, and inhibits growth of Gram-positive bacteria. Therefore, PGRP may function as an intracellular antibacterial protein in neutrophils.",10827080
PRTN3,Neutrophil signature,"Neutrophil elastase, proteinase 3, and cathepsin G are three hematopoietic serine proteases stored in large quantities in neutrophil cytoplasmic azurophilic granules.",21079042
CD160,NK cells,"CD160 is an Ig-like activating natural killer (NK) cell receptor expressed on the majority of circulating NK cells and on a subset of circulating cytotoxic T cells, but not on B cells or EBV-transformed B-cell lines.",21715317
CD226,NK cells,"Activating receptor. Its ligands are CD112 and CD155, which are members of the Nectin family of molecules and are broadly distributed on haematopoietic and non-haematopoietic cells, including on many tumour cells.",26694935
CD244,NK cells,"CD244 signalling is mediated by its cytoplasmic immunoreceptor tyrosine-based switch motifs (ITSM). In humans, CD244 interactions with its ligand CD48 result in cytotoxicity and cytokine production. CD244 can also enhance signals by other NK receptors such as NKp30 and NKp46 thereby acting as a costimulator.",21644031
EOMES,NK cells,"Interestingly, we also observed that NK cells from patients with metastatic melanoma expressed reduced levels of Eomes.",25964857
FGFBP2,NK cells,"Ksp37 expression was limited to Th1-type CD4(+) T cells, effector CD8(+) T cells, gammadelta T cells, and CD16(+) NK cells. Most of these Ksp37-expressing cells coexpressed perforin, indicating that Ksp37 is selectively and commonly expressed in the lymphocytes that have cytotoxic potential.",11342666
GNLY,NK cells,"Granulysin was first known as an intracellular cytolytic molecule within granules of CTLs and NK cells. Originally, the cytolytic function of granulysin was demonstrated in cells infected with intracellular organisms such as Mycobacterium tuberculosis; this molecule was later shown to also be effective against tumor cells.",21540579
GZMB,NK cells,NK cells recognize and kill their targets by several mechanisms including the release of cytotoxic granules containing PRF1/perforin and GZMB.,24248158
GZMH,NK cells,"Granzyme H (GZMH) is a functional cytotoxic serine protease of NK cell granules, which expands the cell death-inducing repertoire of innate immune system. GZMH is constitutively and highly expressed in human NK cells, in order to possess chymotrypsin-like (chymase) enzymatic activity.",25250148
IFNG,NK cells,"NK cells are an early and potent producer of IFNγ, which has many effects on the immune response, including induction of MHC class II molecules on antigen-presenting cells, activation of myeloid cells and induction of T helper 1 (TH1) cells, as well as effects on angiogenesis.",26694935
KIR2DL4,NK cells,"KIR2DL4 (CD158d): An activation receptor for HLA-G. Although it has a long cytoplasmic tail that is typical of inhibitory KIR, engagement of this receptor results in the activation of NK cells, not for cytotoxicity, but for cytokine and chemokine secretion.",22934097
KLRC2,NK cells,We hypothesized that CMV-induced CD56dimCD57+NKG2C+ NK cells with enhanced function and long-term persistence may promote cancer control in transplant recipients.,26416461
KLRF1,NK cells,"NKp80, an activating homodimeric C-type lectin-like receptor (CTLR), is expressed on essentially all human natural killer (NK) cells and stimulates their cytotoxicity and cytokine release.",18922855
KLRK1,NK cells,"Activating receptor. NKG2D ligands are MICA, MICB, RAET1E, RAET1G, RAET1H, RAET1I, RAET1L and RAET1N. They can be expressed on rapidly proliferating cells, infected cells, transformed cells and tumour cells.",26694935
NCR1,NK cells,NCR1 is expressed constitutively on NK cells. Transmits its activating signal by associating with the ITAM-bearing adaptor protein CD3ζ and FcεRIγ.,26694935
NCR3,NK cells,"NKp30, NKp44, and NKp46 are the most well characterized NCRs. Our results show for the first time that the numbers of NKp30 and NKp46-positive NK cells were significantly reduced in almost all patients with PC, GC, and CRC, consistent with studies in other malignancies such as cervical cancer, breast cancer, and melanoma. It has been reported that NCR-positive NK cells have the ability to kill harmful cells, such as transformed malignant cells and infected cells, and can also secret inflammatory cytokines such as interferon-γ (IFN-γ) and tumor necrosis factor-α (TNF-α). Accordingly, the lower number of cells expressing NKp30 and NKp46 may be partly responsible for the poor function of NK cells in patients with PC, GC, and CRC.",24138752
NKG7,NK cells,"Analysis of the subcellular localization of GMP-17 during activation of NK cells reveals that GMP-17 is relocalized from granules to the plasma membrane, suggesting that GMP-17 may contribute to the effector function of cytotoxic lymphocytes.",8570616
SH2D1B,NK cells,"We show that recruitment of EAT-2 mediates the phosphorylation of CRACC, possibly by recruiting a Src kinase, and we define the signaling mediators downstream of CRACC/EAT-2 implicated in triggering NK cell-mediated cytotoxicity.",16339536
IL10,Protumor cytokines,"IL-10 is a crucial mediator of inflammation, apoptosis, Th1/ Th2 balance, and functions as autocrine growth factor in lymphoid tumors. Our finding of an adverse prognostic impact of increased IL-10 serum levels is in accordance with previous reports in high and intermediate NHL. Correlation between tumor mass indicators (advanced stage, medullar involvement, and high FLIPI score) and IL-10 serum levels suggests that tumor B cells might be the source of this anti-inflammatory cytokine.",19582455
IL22,Protumor cytokines,"Based on the present understandings of IL-22 biology, it is believed that IL-22 is important in enhancing innate immunity response, tissue damage protection and tissue repair.",27489357
IL6,Protumor cytokines,"MSCs support FL B-cell viability through their expression of adhesion molecules and integrins, which provide survival signals to the FL B-cells upon binding to their cognate receptors, as well as by their elaboration of pro-survival cytokines such as IL-6 and BAFF.",24836297
MIF,Protumor cytokines,"Macrophage migration inhibitory factor (MIF) is a pleiotropic cytokine, which was shown to be upregulated in cancers and to exhibit tumor promoting properties. Unlike other cytokines, MIF is ubiquitously present in the circulation and tissue of healthy subjects. We recently described a previously unrecognized, disease-related isoform of MIF, designated oxMIF, which is present in the circulation of patients with different inflammatory diseases.",27636991
TGFB1,Protumor cytokines,"TGF-β plays an important role in the maintenance of Tregs, their suppressor function and the generation of iTregs and Th17. While TGF-β could function directly to mediate Treg suppression of T cell activation, differentiation and proliferation, it could also function in a novel mechanism of infectious tolerance by converting naïve T cells into anergic and suppressive cells.",24132110
TGFB2,Protumor cytokines,"TGF-β plays an important role in the maintenance of Tregs, their suppressor function and the generation of iTregs and Th17. While TGF-β could function directly to mediate Treg suppression of T cell activation, differentiation and proliferation, it could also function in a novel mechanism of infectious tolerance by converting naïve T cells into anergic and suppressive cells.",24132110
TGFB3,Protumor cytokines,"TGF-β plays an important role in the maintenance of Tregs, their suppressor function and the generation of iTregs and Th17. While TGF-β could function directly to mediate Treg suppression of T cell activation, differentiation and proliferation, it could also function in a novel mechanism of infectious tolerance by converting naïve T cells into anergic and suppressive cells.",24132110
CD28,T cells,"The B7-CD28 interaction in particular seems to be one of the major pathways among the variety of ligand-receptor interactions between APC and T cells, leading to long-lasting T-cell activation. Therefore, costimulation by CD28 antibodies may substitute for insufﬁcient costimulatory signaling by the malignant B cells.",11251974
CD3D,T cells,"The αβTCR is noncovalently associated with three dimeric signaling modules: CD3δε, CD3γε, and ζζ.",20452950
CD3E,T cells,"The multicomponent assembly of the TCR complex illustrates general principles used by many receptors in the immune system, which rely on basic and acidic transmembrane residues to guide assembly. The intrinsic binding of the cytoplasmic domains of the CD3ε and ζ chains to the inner leaflet of the plasma membrane represents a novel mechanism for control of receptor activation: Insertion of critical CD3ε tyrosines into the hydrophobic membrane core prevents their phosphorylation before receptor engagement.",20452950
CD3G,T cells,"The αβTCR is noncovalently associated with three dimeric signaling modules: CD3δε, CD3γε, and ζζ.",20452950
CD5,T cells,"CD5 is a surface glycoprotein expressed on the majority of mature T-cells. It is felt to have a role in thymocyte development and selection, T-cell activation and T-cell antigen presentation.",24754692
ITK,T cells,ITK is a cytoplasmic nonreceptor tyrosine kinase. It is a member of the Tec Kinase family and is essential for T-cell receptor signaling and T-helper cell differentiation.,26056787
TBX21,T cells,"T-bet is a hallmark transcription factor that is essential for differentiation and function of Th1 cells, CD8+ T cells, γδ T cells and NK cells.",23090288
TRAC,T cells,"Many structures of human and mouse complexes have shown a typical binding mode, which maximizes αβTCR interaction with the MHC-bound peptide. This binding mode places the hypervariable loops of the TCR, the CDR3α and CDR3β loops, over the center of the bound peptide. Two other TCR loops, CDR1α and CDR1β, frequently also contribute to peptide recognition by binding over amino-terminal and carboxy-terminal peptide segments, respectively.",20452950
TRAT1,T cells,"Thus, TRIM represents a novel TCR-associated polypeptide likely to be involved in recruitment of intracellular signaling proteins to the plasma membrane after T cell activation.",9687533
TRBC1,T cells,"Many structures of human and mouse complexes have shown a typical binding mode, which maximizes αβTCR interaction with the MHC-bound peptide. This binding mode places the hypervariable loops of the TCR, the CDR3α and CDR3β loops, over the center of the bound peptide. Two other TCR loops, CDR1α and CDR1β, frequently also contribute to peptide recognition by binding over amino-terminal and carboxy-terminal peptide segments, respectively.",20452950
TRBC2,T cells,"Many structures of human and mouse complexes have shown a typical binding mode, which maximizes αβTCR interaction with the MHC-bound peptide. This binding mode places the hypervariable loops of the TCR, the CDR3α and CDR3β loops, over the center of the bound peptide. Two other TCR loops, CDR1α and CDR1β, frequently also contribute to peptide recognition by binding over amino-terminal and carboxy-terminal peptide segments, respectively.",20452950
CD40LG,Th1 signature,CD40 ligand (CD40L) is a cell surface costimulatory molecule expressed mainly by activated T cells. CD40L is critically important for T-B cell and T cell-dendritic cell interactions. CD40L expression promotes Th1 cytokine responses to protein Ags and is responsible for Ig isotype switching in B cells.,10820273
IFNG,Th1 signature,"Initially, it was believed that CD4+ T helper cell type 1 (Th1) lymphocytes, CD8 cytotoxic lymphocytes, and NK cells exclusively produced IFNG. However, there is now evidence that other cells, such as B cells, NKT cells, and professional antigen-presenting cells (APCs) secrete IFNG. Th2-to-Th1 phenotype switch happens when CD4+ cells are treated with IFNG.",14525967
IL12RB2,Th1 signature,"Interleukin-12 (IL-12), a heterodimeric cytokine produced by activated monocytes and dendritic cells, plays a crucial role in regulating interferon (IFN)-γ production and in the generation of IFN–γ–producing T helper 1 (Th1) cells. Here we show that the IL-12 receptor (IL12R) β2 subunit, a recently cloned binding and signal transducing component of the IL-12R, is expressed on human Th1 but not Th2 clones and is induced during differentiation of human naive cells along the Th1 but not the Th2 pathway.",9120388
IL2,Th1 signature,"IL-2 is critical for the development and peripheral expansion of CD4+CD25+regulatory T cells, which promote self-tolerance by suppressing T cell responses in vivo. IL-2 is produced primarily by activated CD4+ T cells, although expression by naive CD8+ T cells, dendritic cells, and thymic cells has also been reported.",15034008
IL21,Th1 signature,"IL-21 is produced by a variety of activated CD4+ T cells including TH1 and TH17 cells, natural killer T (NKT) cells and follicular helper T cells. IL-21 plays a role in the differentiation and proliferation of B cells as well as of CD4+ and CD8+ T lymphocytes. Moreover, IL-21 exerts potent antitumor effects due to its ability to induce and expand cytotoxic CD8+ T cells, NK cells and NKT cells, as well as to its capacity to suppress FOXP3 expression and the expansion of regulatory T cells (Tregs).",23894713
STAT4,Th1 signature,"These results demonstrate that, as in murine systems, STAT4 is required for optimal human Th1 lineage development.",19359411
TBX21,Th1 signature,"T-bet, a T-box transcription factor, is required for Thelper (Th) 1 T-cell development from naive T-helper precursor cells (Thp) and redirects Th2 T cells to Th1 development.",15323146
CCR4,Th2 signature,"The chemokines CCL17 and CCL22 attract CCR4-bearing cells, which are especially polarised to Th2-type cells and regulatory T cells (Treg).",21479399
IL10,Th2 signature,"IL-10 is a Th2 product and potent inhibitor of Th1 cells. IL-10 is produced by virtually all leukocytes. In macrophages, IL-10 is elicited in response to TLR activation, glucocorticoids, and C-type lectin signaling. The macrophage transcriptome induced by IL-10 includes selected Fc receptors, the chemoattractants CXCL13 and CXCL4, and the recognition receptors formyl peptide receptor 1 (FPR1), TLR1, TLR8, and macrophage receptor with collagenous domain (MARCO).",24669294
IL13,Th2 signature,"At the tumor site Th2 cells release IL-5 and IL-13, cytokines known to contribute to fibrosis by promoting collagen synthesis.",22720220
IL4,Th2 signature,"The M2 group of stimuli arose from the initial IL-4 observations, and they are grouped mainly due to their ability to antagonize prototypic inflammatory responses and markers. IL-4 is produced by the Th2 cells, eosinophils, basophils, or macrophages themselves and is recognized by three different receptor pairs.",24669294
IL5,Th2 signature,"At the tumor site Th2 cells release IL-5 and IL-13, cytokines known to contribute to fibrosis by promoting collagen synthesis.",22720220
CCR8,Treg,We identified CCR8 as the most robustly and differentially expressed chemokine receptor in breast tumor resident Treg cells as compared to peripheral blood Treg cells or Tconv cells found in either peripheral blood or breast tumors.,27851913
CTLA4,Treg,CTLA-4 proteins contribute to the suppressor function of regulatory T cells (Tregs).,22403258
FOXP3,Treg,Transcriptional factor Foxp3 serves as a lineage specification factor of Treg cells.,21488902
IKZF2,Treg,"Helios has been suggested to play important roles in immune regulation by repressing pro-apoptotic genes in Tregs, contributing to the development of follicular Tregs, and enhancing Treg function in cooperation with FoxP3. FoxP3+/–Helios+ Tregs are significantly expanded in the peripheral blood and at tumor sites of various cancers, and have been reported to exhibit enhanced in vitro suppressive activity.",26885615
IKZF4,Treg,"In previous studies, EOS was shown to physically interact with FOXP3, repress FOXP3-regulated genes, and mediate Treg-suppressive function, and, of the 5 TFs studied, only EOS appeared to be involved in regulation of FOXP3 independent from FOXP3 mRNA, implying that it may be involved with posttranscriptional control of FOXP3, especially in tumor Tregs.",28814673
IL10,Treg,The majority of tumor-associated IL-10 was produced by an activated Treg population.,24216477
TNFRSF18,Treg,"While high GITR expression is clearly a marker for Tregs, its function on Tregs is more complex. In general, GITR modulation induces Treg expansion, inhibits Treg suppressive function and promotes Teff resistance to Treg suppression.",27591414
CCL1,Treg and Th2 traffic,"Expression of CCR8 and its ligand CCL1 is found outside the central tumor area. An impressive 5-fold increase in the expression of CCL22 (2J) and an average 45-fold increase in the number of CCL1 expressing cells (P<0.05) (2K) was observed in melanoma-affected skin, suggesting that Treg are preferentially attracted towards tumors.",27634754
CCL17,Treg and Th2 traffic,"Our results suggest that through two distinct mechanisms, intratumoral TFH induce production of CCL17 and CCL22 by FL tumor cells and facilitate active recruitment of Tregs and IL-4–producing T cells, which in turn may stimulate more chemokine production in a feed-forward cycle.",23686488
CCL22,Treg and Th2 traffic,"Our results suggest that through two distinct mechanisms, intratumoral TFH induce production of CCL17 and CCL22 by FL tumor cells and facilitate active recruitment of Tregs and IL-4–producing T cells, which in turn may stimulate more chemokine production in a feed-forward cycle.",23686488
CCL28,Treg and Th2 traffic,"The liver tumors may evade the host immunosurveillance and maintain the growth advantages by upregulating expression of CCL28 during hypoxia; and by binding to its receptor, CCR10, CCL28 can effectively recruit CCR10+ Treg cells to the tumor site, where this specific population of Treg cells repress the functions of effector T-cells, promoting the in vivo tumor growth.",27716621
CCR10,Treg and Th2 traffic,"The liver tumors may evade the host immunosurveillance and maintain the growth advantages by upregulating expression of CCL28 during hypoxia; and by binding to its receptor, CCR10, CCL28 can effectively recruit CCR10+ Treg cells to the tumor site, where this specific population of Treg cells repress the functions of effector T-cells, promoting the in vivo tumor growth.",27716621
CCR4,Treg and Th2 traffic,"In light of the differential expression of CCR4 on Tregs and non-Tregs and the knowledge that CCR4 is the only known receptor for CCL17 and CCL22, our data support the development of blocking antibodies or small-molecule antagonists against CCR4 that can be used in combination with other immunotherapeutic strategies in therapies for FL and other B-cell malignancies.",23686488
CCR8,Treg and Th2 traffic,"Expression of CCR8 and its ligand CCL1 is found outside the central tumor area. An impressive 5-fold increase in the expression of CCL22 (2J) and an average 45-fold increase in the number of CCL1 expressing cells (P<0.05) (2K) was observed in melanoma-affected skin, suggesting that Treg are preferentially attracted towards tumors.",27634754
AURKA,Tumor proliferation rate,"Aurora A kinase (AAK) is a member of the aurora kinase family and is expressed in all actively dividing cells. Several groups have reported increased AAK expression in aggressive lymphomas, as compared with normal B cells.",24043741
AURKB,Tumor proliferation rate,"Throughout G2, aurora B functions in a protein complex, mainly associating with microtubules near the kinetochores, and is responsible for bipolar attachment of the spindle to the centromeres and correct segregation of the daughter chromatids. Subsequently, aurora B redistributes to the midbody where it has a key role in cytokinesis. Both aurora A and B are overexpressed in a large number of human solid tumors as well as leukemia cell lines and adult AML patients, also showing a correlation with a poor prognosis in these patients.",22940834
BUB1,Tumor proliferation rate,"A far more common event in human tumors may be up-regulation of mitotic factors and several studies have found high Bub1 levels in subsets of breast and gastric cancers, and lymphomas. However, because Bub1 expression is relatively high in proliferating cells compared with quiescent or differentiated cells, increased Bub1 levels may simply represent an increase in the mitotic index of the tumors compared with neighboring tissue.",21646403
CCNB1,Tumor proliferation rate,"CCNB1 and CDC2 form a complex, which is essential for the G2/M transition of the cell cycle. This complex has a peak during the G2/M phase and must be degraded before the completion of the cell division.",15576476
CCND1,Tumor proliferation rate,"Cyclin D group includes three members, cyclin D1, cyclin D2, and cyclin D3. Effector role in cell proliferation cascades activated by growth factor signaling is considered to be their main function, and their expression in normal cells is induced during the response to mitogenic stimuli. We found that cyclin D1 expression level is increased in several B-lymphoid neoplasms, such as MCL, BCLL, FL, and DLBCL and MZL compared with reactive cells.",20727381
CCNE1,Tumor proliferation rate,"Cyclin E and the cyclin-dependent kinase inhibitor p27 are two important regulators of the G1-S transition modulating the activity of cyclin-dependent kinases. Our data showed a rather strong association between cyclin E expression and proliferation determined by the S-phase fraction and all lymphomas, except aggressive lymphomas, had in principle higher cyclin E index than S-phase fractions. ",9680343
CDK2,Tumor proliferation rate,"Because CDK2 regulates cell cycle progression through the interaction with both cyclin E and cyclin A2, its functions extend beyond G1 regulation to control events in S and G2/M phases. Early deregulation of the CDK2 protein in our FL samples could have great impact on the cell cycle with effects extending beyond G1, in light of the broad substrates that CDK2 and its cyclin partners affect.",16704435
CETN3,Tumor proliferation rate,"CETN3 is located at the centrosome of interphase and mitotic cells, where it plays a fundamental role in centrosome duplication.",27166259
E2F1,Tumor proliferation rate,"The E2F family of transcriptional factors modulates the expression of a broad array of genes important for cell cycle progression from G1 to S phase. The E2F-1/DP-1 heterodimer has been shown to regulate genes involved in DNA synthesis (i.e., dihydrofolate reductase, thymidine kinase, and DNA polymerase α) and those involved in cell growth (i.e., N-myc, c-myc, IGF-1, and cyclin A).",12607600
ESCO2,Tumor proliferation rate,"Cohesin is initially loaded onto DNA in G1 by cohesin loaders (NIPBL and MAU2), but isn’t established until S-phase when SMC3 is acetylated by ESCO1 and ESCO2.",23962039
MCM2,Tumor proliferation rate,The minichromosome maintenance (MCM) protein family consists of six members of DNA-binding proteins. MCM proteins stand at the end of many signalling pathways involved in cell proliferation. They ensure that synthesis of DNA is initiated only once during each cell cycle. Mcm2 expression can be used to assess tumour proliferation and may be useful as an additional prognostic marker to refine the prediction of outcome in DLBCL.,16368013
MCM6,Tumor proliferation rate,Minichromosome maintenance protein 6 (MCM6) is one of six proteins of the MCM family which are involved in the initiation of DNA replication and thus represent a marker of proliferating cells.,16189522
MKI67,Tumor proliferation rate,"This protein is expressed in all cell cycle phases except G0 and may therefore be used as a proliferation marker. It was shown that the MIB-1 positive percentage of cells (so called MIB-1 labeling index (LI)) was significantly higher in Grade 3 follicular lymphoma as compared to Grades 1 and 2. Moreover, patients with a LI below the median had a significantly prolonged time to progression and improved overall survival.",22499389
MYBL2,Tumor proliferation rate,"C-myb and B-myb showed a quite different pattem of expression. They were expressed in most cell lines of all neoplastic groups, although their expression was somewhat heterogeneous within each group. These data are in agreement with previous data, suggesting that in mature lymphoid cells, c-myb and B-myb expression correlates with proliferation.",8634438
PLK1,Tumor proliferation rate,"PLK1, a mitotic regulator, important for spindle formation, is a transcriptional regulator of the G2/M cell cycle checkpoint. PLK1 is upregulated in cancer, including FL, and is associated with worse outcome, with interest in PLK1 as a clinical target.",23757039
CD163,Tumor-associated Macrophages,"Given the reports on polarized macrophage function and the identification of CD163 as a specific M2 macrophage marker, we investigated the prognostic value of CD163+ and CD68+ macrophage infiltrations in different tumor compartments of primary melanomas from patients with American Joint Committee on Cancer (AJCC) stage I/II melanoma. Additionally, we investigated the prognostic value of sCD163 in serum from the same group of patients.",19528371
CD68,Tumor-associated Macrophages,"CD68 is a heavily glycosylated type I transmembrane glycoprotein, which is mainly associated with endosomal/lysosomal compartment. Traditionally, CD68 is exploited as a valuable cytochemical marker to immunostain monocyte/macrophages in the histochemical analysis of inflamed tissues, tumor tissues, and other immunohistopathological applications. CD68 alone or in combination with other cell markers of tumor-associated macrophages showed a good predictive value as a prognostic marker of survival in cancer patients.",27869795
CSF1R,Tumor-associated Macrophages,"Colony-stimulating factor 1 receptor (CSF-1R), which is encoded by the C-FMS proto-oncogene, is a transmembrane receptor tyrosine kinase and is the receptor for colony-stimulating factor 1 (CSF-1, also known as macrophage–colony-stimulating factor). CSF-1 induces TAMs to polarize toward the M2 phenotype and promote tumor progression.",24619759
IL10,Tumor-associated Macrophages,"IL10 is a Th2 product and potent inhibitor of Th1 cells. IL-10 is produced by virtually all leukocytes. In macrophages, IL-10 is elicited in response to TLR activation, glucocorticoids, and C-type lectin signaling. The macrophage transcriptome induced by IL-10 includes selected Fc receptors, the chemoattractants CXCL13 and CXCL4, and the recognition receptors formyl peptide receptor 1 (FPR1), TLR1, TLR8, and macrophage receptor with collagenous domain (MARCO).",24669294
IL4I1,Tumor-associated Macrophages,"IL4I1 is a secreted L-amino acid oxidase that mainly catabolizes L-phenylalanine to produce hydrogen peroxide, ammonia, and phenylpyruvate. In the past 10 years, IL4I1 has been shown to be expressed by tumor-associated macrophages (TAMs) of numerous cancer types and to regulate T-cell properties both in vitro and in vivo.",30048651
MRC1,Tumor-associated Macrophages,"CD206, also termed as MRC1 (C-type mannose receptor 1), is an M2 macrophage marker in both the mouse and the human.",26089604
MSR1,Tumor-associated Macrophages,CD204 is the prototypic member of an expanding family of membrane receptors collectively termed scavenger receptors and a multifunctional receptor that recognizes many different types of negatively charged macromolecules. CD204-positive macrophages could be the tumor-promoting macrophages (M2 macrophages) involved in tumor progression in lung adenocarcinoma.,20802348
SIGLEC1,Tumor-associated Macrophages,"Sialoadhesin (Sn) is a macrophage-restricted lectin-like receptor with extracellular immunoglobulin-like domains that can function as a cell adhesion molecule. The membrane distal immunoglobulin-like domain binds specifically to oligosaccharides terminating in Neu5Acα2,3Gal, a glycosidic linkage that is commonly found on O- and N-linked glycans present on the surface of mammalian cells.",10610356
